real_word_account_start,has_inline_image,no_return_path,no_reply_no_return,yes_reply_no_return,free_in_domain,Label
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
True,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
False,False,False,False,False,False,Ham
